name,shop,host2_shop_url,host2_profile_url,photo_source_url,shop_monthly_rank,collected_at,host2_monthly_rank,shop_listed_hosts,tiktok_top30_exact_match,national_popularity_score,x_profile_url,selection_note,selection_score,host2_area,photo_face_check
七瀬るい,alpha by ACQUA -本店-,https://www.host2.jp/shop/alpha1/index.html,https://www.host2.jp/shop/alpha1/rui/index.html,https://www.host2.jp/shop/alpha1/rui/pr01-thum.jpg,1,2026-09-24,1,28,yes,,https://x.com/rui_kun7,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",10556,歌舞伎町ホストクラブ,unknown
パクセロイ,club -FAIRY-,https://www.host2.jp/shop/c_fairy/index.html,https://www.host2.jp/shop/c_fairy/kota/index.html,https://www.host2.jp/shop/c_fairy/kota/pr01-thum.jpg,1,2026-09-24,1,25,yes,,https://x.com/paku_fairy,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",10550,歌舞伎町ホストクラブ,unknown
あいち,FIXER,https://www.host2.jp/shop/fixer_nagoya/index.html,https://www.host2.jp/shop/fixer_nagoya/aichi/index.html,https://www.host2.jp/shop/fixer_nagoya/aichi/pr01-thum.jpg,1,2026-09-24,1,13,yes,,,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",10526,愛知／名古屋ホストクラブ,unknown
ハルト,BELLE,https://www.host2.jp/shop/belle_nagoya/index.html,https://www.host2.jp/shop/belle_nagoya/haruto/index.html,https://www.host2.jp/shop/belle_nagoya/haruto/pr01-thum.jpg,1,2026-09-24,1,13,yes,,,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",10526,愛知／名古屋ホストクラブ,unknown
咲夜 京,BOY,https://www.host2.jp/shop/boy/index.html,https://www.host2.jp/shop/boy/kyo/index.html,https://www.host2.jp/shop/boy/kyo/pr01-thum.jpg,3,2026-09-24,3,24,yes,,https://x.com/sakuya_kyou,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",10348,歌舞伎町ホストクラブ,unknown
飛鳥冬凛,MIKADO,https://www.host2.jp/shop/mikado/index.html,https://www.host2.jp/shop/mikado/tori/index.html,https://www.host2.jp/shop/mikado/tori/pr01-thum.jpg,2,2026-09-24,2,34,,1739,https://x.com/world_touri_,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",2207,愛知／名古屋ホストクラブ,unknown
一ノ瀬エイト,CANDY,https://www.host2.jp/shop/candy01/index.html,https://www.host2.jp/shop/candy01/eito01/index.html,https://www.host2.jp/shop/candy01/eito01/pr01-thum.jpg,1,2026-09-24,1,169,,,https://x.com/candycandysns1,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",660,歌舞伎町ホストクラブ,unknown
天使咲瑠,CHRONO,https://www.host2.jp/shop/chrono_nagoya/index.html,https://www.host2.jp/shop/chrono_nagoya/elle/index.html,https://www.host2.jp/shop/chrono_nagoya/elle/pr01-thum.jpg,1,2026-09-24,1,89,,,,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",660,愛知／名古屋ホストクラブ,unknown
桜木 凌,VALHALLA,https://www.host2.jp/shop/yggdrasill04/index.html,https://www.host2.jp/shop/yggdrasill04/ryo03/index.html,https://www.host2.jp/shop/yggdrasill04/ryo03/pr01-thum.jpg,1,2026-09-24,1,110,,,https://x.com/VALHALLAygg,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",660,歌舞伎町ホストクラブ,unknown
楓舞,A.I.M,https://www.host2.jp/shop/a-i-m/index.html,https://www.host2.jp/shop/a-i-m/fuma/index.html,https://www.host2.jp/shop/a-i-m/fuma/pr01-thum.jpg,1,2026-09-24,1,88,,,https://x.com/club__aim,"Public Host2 monthly rank + public national popularity/TikTok exact-name matches; X link is recorded, not scored as follower popularity.",660,石川／金沢ホストクラブ,unknown
